date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2022-04-01,10B0A0E8F97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,7990.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,55.0,18292.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,4.0,100.0,2.0,100.0,529.0,100.0,21.0,,,100.0,0.0,100.0,1.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,151257089.0,56.0,17654.0,100.0,0.0,100.0,0.0,,,100.0,585.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-01.csv
2022-04-01,ZL004R2K,ST12000NM0008,12000138625024,1,63.0,102213432.0,,,91.0,0.0,100.0,9.0,96.0,16432.0,81.0,115855656.0,,,82.0,16513.0,100.0,0.0,,,100.0,9.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,357.0,100.0,0.0,,,77.0,23.0,,,100.0,3.0,100.0,1303.0,23.0,23.0,2.0,102213432.0,,,100.0,16.0,100.0,16.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,16270.0,100.0,31034043752.0,100.0,182694399270.0,,,,,,,,,,,,,,,,,,,,,2022-04-01.csv
2022-04-02,ZGS01JWR,ST500LM030,500107862016,1,83.0,191820128.0,,,99.0,0.0,100.0,20.0,100.0,0.0,87.0,514922142.0,,,75.0,22509.0,100.0,0.0,,,100.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,25770196998.0,100.0,0.0,66.0,34.0,100.0,0.0,100.0,12.0,100.0,71.0,34.0,34.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,22508.0,100.0,44616918848.0,100.0,25400205987.0,,,,,,,,,,,,,,,,,100.0,0.0,,,2022-04-02.csv
2022-04-02,ZHZ62HSV,ST12000NM0008,12000138625024,1,58.0,227791144.0,,,97.0,0.0,100.0,3.0,77.0,25704.0,87.0,531890378.0,,,80.0,17780.0,100.0,0.0,,,100.0,3.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,140.0,100.0,0.0,,,65.0,35.0,,,100.0,0.0,100.0,1110.0,35.0,35.0,2.0,227791144.0,,,100.0,16.0,100.0,16.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,17622.0,100.0,80149337840.0,100.0,224766421388.0,,,,,,,,,,,,,,,,,,,,,2022-04-02.csv
2022-04-02,ZHZ65PAT,ST12000NM0008,12000138625024,1,80.0,94048872.0,,,95.0,0.0,100.0,4.0,100.0,8.0,86.0,382088403.0,,,90.0,8760.0,100.0,0.0,,,100.0,4.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,79.0,21.0,,,100.0,1.0,100.0,534.0,21.0,21.0,1.0,94048872.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,8642.0,100.0,52755015832.0,100.0,105788708859.0,,,,,,,,,,,,,,,,,,,,,2022-04-02.csv
2022-04-02,X880A0H9F97G,TOSHIBA MG07ACA14TA,14000519643136,1,100.0,0.0,100.0,0.0,100.0,7747.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,48.0,21087.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,4.0,100.0,78.0,100.0,31.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,1310721.0,48.0,20941.0,100.0,0.0,100.0,0.0,,,100.0,594.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-02.csv
2022-04-02,ZL2CH3NJ,ST14000NM001G,14000519643136,1,83.0,210490304.0,,,91.0,0.0,100.0,10.0,100.0,0.0,86.0,431886699.0,,,92.0,7274.0,100.0,0.0,,,100.0,10.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,60131115203.0,,,68.0,32.0,,,100.0,1.0,99.0,3375.0,32.0,32.0,,,,,100.0,0.0,100.0,0.0,200.0,197.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,6551.0,100.0,62441289080.0,100.0,80103420686.0,,,,,,,,,,,,,,,,,,,,,2022-04-02.csv
2022-04-03,ZA21AE3M,ST10000NM0086,10000831348736,1,72.0,15262920.0,,,91.0,0.0,100.0,12.0,2.0,60462.0,88.0,569891468.0,,,55.0,39793.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,104.0,100.0,0.0,35.0,65.0,76.0,24.0,41.0,119853.0,100.0,573.0,100.0,1982.0,24.0,24.0,72.0,15262920.0,,,100.0,32.0,100.0,32.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,39571.0,100.0,97477350504.0,100.0,332380320874.0,,,,,,,,,,,,,,,,,,,,,2022-04-03.csv
2022-04-03,PL1331LAHBMZ8H,HGST HMS5C4040BLE640,4000787030016,1,95.0,131082.0,133.0,107.0,100.0,0.0,100.0,4.0,100.0,140.0,100.0,0.0,113.0,42.0,93.0,51024.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,561.0,100.0,561.0,214.0,28.0,,,100.0,169.0,100.0,8.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-03.csv
2022-04-03,57QEWPXVT,TOSHIBA MQ01ABF050,500107862016,1,100.0,0.0,100.0,0.0,100.0,1969.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,1.0,40147.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,10.0,100.0,5.0,100.0,666.0,100.0,38.0,,,100.0,0.0,100.0,272.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,0.0,1.0,40153.0,100.0,0.0,100.0,0.0,,,100.0,169.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-03.csv
